"","(Intercept)","Banks","Geomorph","Group","logDist","OrderClass","Region","VegFld","Banks:logDist","Geomorph:logDist","Group:logDist","logDistxOrderClass","logDistxRegion","logDist:VegFld","adjR^2","df","logLik","AICc","delta","weight"
"1901",-0.294937226190106,"+",NA,"+",-0.197358415278303,NA,"+","+","+",NA,"+",NA,NA,NA,0.336693381285077,17,-347.659721208574,731.757689429099,15.3104883709428,6.43661144664221e-05
"5741",-0.291489604029776,"+",NA,"+",-0.265477681794401,NA,"+","+","+",NA,NA,NA,NA,"+",0.336412878579516,17,-347.712299909345,731.862846830643,15.4156457724861,6.1069259454065e-05
"568",-0.742614660825612,"+","+","+",-0.283847395753087,NA,NA,"+","+",NA,NA,NA,NA,"+",0.336402646910239,17,-347.714217391406,731.866681794764,15.4194807366074,6.09522724406979e-05
"543",-0.644392790722018,NA,"+","+",-0.285407774035867,"+",NA,"+",NA,NA,NA,NA,NA,"+",0.33024588037325,16,-348.863106808516,731.884943775762,15.4377427176054,6.03982510514593e-05
"3351",-0.656564191328879,NA,"+","+",-0.159940489334849,NA,"+",NA,NA,"+",NA,NA,"+",NA,0.342358270455728,18,-346.593445675072,731.922891350143,15.4756902919869,5.92630708784637e-05
"4461",-0.491029875220328,"+",NA,"+",-0.0944375134265288,NA,"+","+","+",NA,"+",NA,"+",NA,0.354473407539935,20,-344.284298000099,731.955692774392,15.5084917162358,5.82990413080039e-05
"2241",0.00694278415921684,"+","+","+",-0.220750934614197,NA,"+","+",NA,"+","+",NA,NA,NA,0.360543951652631,21,-343.112169037314,731.965228762888,15.5180277047311,5.80217334409135e-05
"88",-0.766274638375038,"+","+","+",-0.263898302826072,NA,NA,"+",NA,"+",NA,NA,NA,NA,0.329981953693793,16,-348.912138416767,731.983006992264,15.5358059341071,5.75082571538459e-05
"8321",-0.175175815760617,"+","+","+",-0.166556857750584,NA,"+","+","+",NA,NA,NA,"+","+",0.372663826797571,23,-340.741001464758,731.988125378495,15.5409243203381,5.7361270581787e-05
"48",-1.18987252283415,"+","+","+",-0.239120814357847,"+",NA,NA,"+",NA,NA,NA,NA,NA,0.32983142082481,16,-348.940096016819,732.038922192368,15.5917211342118,5.59227313220289e-05
"3021",-0.943484810822372,"+",NA,"+",-0.182404921515151,NA,"+",NA,"+",NA,NA,NA,"+",NA,0.329806912832313,16,-348.944647194633,732.048024547997,15.6008234898405,5.5668795320184e-05
"574",-1.09900694155502,"+",NA,"+",-0.271788659467844,"+",NA,"+","+",NA,NA,NA,NA,"+",0.335877528265194,17,-347.812591390462,732.063429792875,15.6162287347189,5.52416468019744e-05
"694",-0.655062018505793,"+",NA,"+",-0.23083741970916,NA,NA,"+","+",NA,"+",NA,NA,"+",0.329670259762086,16,-348.970021089996,732.098772338722,15.6515712805652,5.42740312637e-05
"670",-1.18843515955939,"+",NA,"+",-0.23977864949424,"+",NA,"+",NA,NA,"+",NA,NA,"+",0.335742836006669,17,-347.837812604647,732.113872221247,15.6666711630902,5.38658084836977e-05
"92",-1.14539026754456,"+","+",NA,-0.25692775430613,"+",NA,"+",NA,"+",NA,NA,NA,NA,0.335682878928472,17,-347.849038086032,732.136323184017,15.6891221258605,5.32645200434517e-05
"791",-0.494923893713652,NA,"+","+",-0.253221559684466,NA,"+",NA,NA,"+",NA,NA,NA,NA,0.323444566474298,15,-350.120967242096,732.139167685773,15.6919666276164,5.31888183791985e-05
"4791",-0.434445125630994,NA,"+","+",-0.0557481334948749,NA,"+","+",NA,"+","+",NA,"+",NA,0.366161905194687,22,-342.018251512051,732.150324162314,15.7031231041578,5.2892944471736e-05
"72",-0.815784783234507,"+","+","+",-0.261291184010223,NA,NA,NA,NA,"+",NA,NA,NA,NA,0.317179990092042,14,-351.269245002528,732.192033312143,15.7448322539865,5.18013069804167e-05
